source,C:\Crusher_isaacsim\Crusher_IsaacSim_description\Crushing_CollisionFree.usd

[LINKS],total=42
#,name,world_x[m],world_y[m],world_z[m]
1,fixed_base,0.000000,0.000000,0.000000
2,base_link,0.000000,0.000000,0.000000
3,L1_Braket1_1,-0.109802,0.060278,0.009431
4,L2_Braket2_1,-0.059802,0.060278,0.019431
5,L3_Bevel_GearBox_1,-0.064802,0.072903,0.061806
6,L4_Bevel_GearBox2_1,-0.093802,0.066678,0.049431
7,L4_Motor1_FrontBearing_1,-0.062802,0.085278,0.049431
8,L5_Motor1_FrontSnapring_1,-0.062802,0.085278,0.049431
9,L4_Motor1_RearBearing_1,-0.122802,0.085278,0.049431
10,L5_Motor1_RearSnapring_1,-0.123302,0.085278,0.049031
11,L4_Reducer1_1,-0.094000,0.108778,0.050000
12,L5_Reducer2_1,-0.094000,0.113778,0.050000
13,L6_Motor1_Bolt_1,-0.096750,0.116778,0.070819
14,L6_Motor1_Braket_1,-0.094000,0.156378,0.050000
15,L7_Motor1_Body_1,-0.094000,0.167878,0.050000
16,L4_Shaft_1,-0.062002,0.085278,0.049431
17,L5_Key_1,-0.055302,0.087778,0.049431
18,L5_Link1_1,-0.043302,0.085278,0.049431
19,L6_Link2_1,-0.043302,0.105278,0.049431
20,L7_Link3_1,-0.043302,0.199278,0.049431
21,L8_Link3_Shaft_1,-0.048302,0.236278,0.049431
22,L9_PLATE_v3_1,-0.048302,0.326778,0.049431
23,L1_Guide1_1,0.000198,0.289278,0.009431
24,L2_Left_Wall1_1,-0.017802,0.286278,0.016542
25,L3_RackGear_1,-0.046302,0.286278,0.012931
26,L1_Guide2_1,-0.094802,0.289278,0.009431
27,L1_Slider_jig_1,-0.047302,0.236278,0.009431
28,L2_Linear_bush_1,-0.035302,0.243778,0.042431
29,L1_Wall1_1,-0.085302,0.336278,0.009431
30,L2_GearCase3_1,-0.060802,0.371278,0.014431
31,L2__Motor2_Braket_1,-0.084802,0.382698,0.014431
32,L3_Motor2_1,-0.101802,0.372198,0.038633
33,L4_Motor2_Shaft_1,-0.099802,0.372198,0.038633
34,L5_Coupler_1,-0.092802,0.372198,0.038633
35,L6_DcutShaft_1,-0.067802,0.372198,0.038633
36,L7_Holder_Bearing1_1,-0.050802,0.372198,0.038633
37,L7_Holder_Bearing2_1,-0.032802,0.372198,0.038633
38,L7_SpurGear_1,-0.050802,0.372198,0.038633
